At time 0, Job1 arrives.
At time 3688, Job289 arrives.
At time 7054, Job60 finishes at disk1.
At time 3695, Job290 arrives.
At time 7078, Job60 finishes at disk1.
At time 3705, Job291 arrives.
At time 5903, Job60 exits from CPU.
At time 3711, Job292 arrives.
At time 6459, Job61 finishes at network.
At time 3728, Job293 arrives.
At time 6490, Job61 finishes at network.
At time 3742, Job294 arrives.
At time 7163, Job61 finishes at disk1.
At time 3762, Job295 arrives.
At time 7197, Job61 finishes at disk1.
At time 3768, Job296 arrives.
At time 7217, Job61 finishes at disk1.
At time 3786, Job297 arrives.
At time 7249, Job61 finishes at disk1.
At time 3792, Job298 arrives.
At time 7269, Job61 finishes at disk1.
At time 3806, Job299 arrives.
At time 6621, Job61 finishes at network.
At time 3815, Job300 arrives.
At time 6078, Job61 exits from CPU.
At time 3824, Job301 arrives.
At time 7330, Job62 finishes at disk1.
At time 3836, Job302 arrives.
At time 7360, Job62 finishes at disk1.
At time 3847, Job303 arrives.
At time 7386, Job62 finishes at disk1.
At time 3865, Job304 arrives.
At time 7422, Job62 finishes at disk1.
At time 3872, Job305 arrives.
At time 7446, Job62 finishes at disk1.
At time 3884, Job306 arrives.
At time 7476, Job62 finishes at disk1.
At time 3891, Job307 arrives.
At time 6779, Job62 finishes at network.
At time 3901, Job308 arrives.
At time 6806, Job62 finishes at network.
At time 3921, Job309 arrives.
At time 7541, Job62 finishes at disk1.
At time 3931, Job310 arrives.
At time 7568, Job62 finishes at disk1.
At time 3938, Job311 arrives.
At time 7593, Job62 finishes at disk1.
At time 3949, Job312 arrives.
At time 6893, Job62 finishes at network.
At time 3958, Job313 arrives.
At time 6918, Job62 finishes at network.
At time 3968, Job314 arrives.
At time 6945, Job62 finishes at network.
At time 3979, Job315 arrives.
At time 7673, Job62 finishes at disk1.
At time 3997, Job316 arrives.
At time 7707, Job62 finishes at disk1.
At time 4011, Job317 arrives.
At time 7740, Job62 finishes at disk1.
At time 4031, Job318 arrives.
At time 7777, Job62 finishes at disk1.
At time 4043, Job319 arrives.
At time 7799, Job62 finishes at disk1.
At time 4059, Job320 arrives.
At time 7828, Job62 finishes at disk1.
At time 4073, Job321 arrives.
At time 7855, Job62 finishes at disk1.
At time 4080, Job322 arrives.
At time 7877, Job62 finishes at disk1.
At time 4100, Job323 arrives.
At time 7912, Job62 finishes at disk1.
At time 4105, Job324 arrives.
At time 7169, Job62 finishes at network.
At time 4111, Job325 arrives.
At time 7193, Job62 finishes at network.
At time 4131, Job326 arrives.
At time 7973, Job62 finishes at disk1.
At time 4136, Job327 arrives.
At time 7996, Job62 finishes at disk1.
At time 4147, Job328 arrives.
At time 8019, Job62 finishes at disk1.
At time 4156, Job329 arrives.
At time 6651, Job62 exits from CPU.
At time 4164, Job330 arrives.
At time 7290, Job63 finishes at network.
At time 4184, Job331 arrives.
At time 8085, Job63 finishes at disk1.
At time 4191, Job332 arrives.
At time 7336, Job63 finishes at network.
At time 4198, Job333 arrives.
At time 8119, Job63 finishes at disk1.
At time 4212, Job334 arrives.
At time 6744, Job63 exits from CPU.
At time 4222, Job335 arrives.
At time 8166, Job64 finishes at disk1.
At time 4230, Job336 arrives.
At time 8192, Job64 finishes at disk1.
At time 4249, Job337 arrives.
At time 8226, Job64 finishes at disk1.
At time 4258, Job338 arrives.
At time 8247, Job64 finishes at disk1.
At time 4277, Job339 arrives.
At time 7475, Job64 finishes at network.
At time 4293, Job340 arrives.
At time 8303, Job64 finishes at disk1.
At time 4313, Job341 arrives.
At time 8339, Job64 finishes at disk1.
At time 4330, Job342 arrives.
At time 6922, Job64 exits from CPU.
At time 4346, Job343 arrives.
At time 6948, Job65 exits from CPU.
At time 4362, Job344 arrives.
At time 7615, Job66 finishes at network.
At time 4375, Job345 arrives.
At time 8449, Job66 finishes at disk1.
At time 4385, Job346 arrives.
At time 8477, Job66 finishes at disk1.
At time 4392, Job347 arrives.
At time 7031, Job66 exits from CPU.
At time 4398, Job348 arrives.
At time 8514, Job67 finishes at disk1.
At time 4409, Job349 arrives.
At time 8536, Job67 finishes at disk1.
At time 4415, Job350 arrives.
At time 7075, Job67 exits from CPU.
At time 4433, Job351 arrives.
At time 8579, Job68 finishes at disk1.
At time 4449, Job352 arrives.
At time 7773, Job68 finishes at network.
At time 4464, Job353 arrives.
At time 7803, Job68 finishes at network.
At time 4484, Job354 arrives.
At time 7837, Job68 finishes at network.
At time 4493, Job355 arrives.
At time 7184, Job68 exits from CPU.
At time 4502, Job356 arrives.
At time 8686, Job69 finishes at disk1.
At time 4515, Job357 arrives.
At time 7896, Job69 finishes at network.
At time 4527, Job358 arrives.
At time 8733, Job69 finishes at disk1.
At time 4545, Job359 arrives.
At time 7266, Job69 exits from CPU.
At time 4562, Job360 arrives.
At time 7975, Job70 finishes at network.
At time 4567, Job361 arrives.
At time 8805, Job70 finishes at disk1.
At time 4574, Job362 arrives.
At time 8828, Job70 finishes at disk1.
At time 4588, Job363 arrives.
At time 8858, Job70 finishes at disk1.
At time 4607, Job364 arrives.
At time 8062, Job70 finishes at network.
At time 4624, Job365 arrives.
At time 7393, Job70 exits from CPU.
At time 4642, Job366 arrives.
At time 8944, Job71 finishes at disk1.
At time 4657, Job367 arrives.
At time 7440, Job71 exits from CPU.
At time 4663, Job368 arrives.
At time 8152, Job72 finishes at network.
At time 4669, Job369 arrives.
At time 8995, Job72 finishes at disk1.
At time 4678, Job370 arrives.
At time 9021, Job72 finishes at disk1.
At time 4694, Job371 arrives.
At time 8214, Job72 finishes at network.
At time 4704, Job372 arrives.
At time 7525, Job72 exits from CPU.
At time 4723, Job373 arrives.
At time 9094, Job73 finishes at disk1.
